issued_at,valid_at,lat,lon,fc_bestmatch_mm,fc_ecmwf_mm,fc_rh_bestmatch,hour,recent_rain_mm,observed_raining
2026-06-25T15:00,2026-06-25T00:00,19.12,72.85,0.2,0.1,82,0,0.8,0
2026-06-25T15:00,2026-06-25T01:00,19.12,72.85,0.1,0.1,85,1,0.8,0
2026-06-25T15:00,2026-06-25T02:00,19.12,72.85,1.1,0.1,89,2,0.8,0
2026-06-25T15:00,2026-06-25T03:00,19.12,72.85,0.4,0.1,89,3,0.8,0
2026-06-25T15:00,2026-06-25T04:00,19.12,72.85,0.0,0.1,88,4,0.8,1
2026-06-25T15:00,2026-06-25T05:00,19.12,72.85,0.0,0.1,88,5,0.8,1
2026-06-25T15:00,2026-06-25T06:00,19.12,72.85,1.1,0.1,89,6,0.8,1
2026-06-25T15:00,2026-06-25T07:00,19.12,72.85,0.0,0.1,86,7,0.8,0
2026-06-25T15:00,2026-06-25T08:00,19.12,72.85,0.0,0.1,83,8,0.8,1
2026-06-25T15:00,2026-06-25T09:00,19.12,72.85,0.3,0.2,79,9,0.8,0
2026-06-25T15:00,2026-06-25T10:00,19.12,72.85,0.1,0.2,79,10,0.8,0
2026-06-25T15:00,2026-06-25T11:00,19.12,72.85,0.5,0.2,70,11,0.8,0
2026-06-25T15:00,2026-06-25T12:00,19.12,72.85,0.4,0.3,74,12,0.8,1
2026-06-25T15:00,2026-06-25T13:00,19.12,72.85,0.2,0.3,74,13,0.8,0
2026-06-25T15:00,2026-06-25T14:00,19.12,72.85,0.3,0.3,76,14,0.8,0
2026-06-25T15:00,2026-06-25T15:00,19.12,72.85,0.1,0.1,76,15,0.8,0
2026-06-25T15:00,2026-06-25T16:00,19.12,72.85,0.2,0.1,78,16,0.8,0
2026-06-25T15:00,2026-06-25T17:00,19.12,72.85,0.1,0.1,76,17,0.8,0
2026-06-25T15:00,2026-06-25T18:00,19.12,72.85,0.0,0.0,82,18,0.8,0
2026-06-25T15:00,2026-06-25T19:00,19.12,72.85,0.0,0.0,83,19,0.8,0
2026-06-25T15:00,2026-06-25T20:00,19.12,72.85,0.0,0.0,81,20,0.8,0
2026-06-25T15:00,2026-06-25T21:00,19.12,72.85,0.1,0.3,85,21,0.8,0
2026-06-25T15:00,2026-06-25T22:00,19.12,72.85,0.3,0.3,89,22,0.8,0
2026-06-25T15:00,2026-06-25T23:00,19.12,72.85,0.4,0.3,85,23,0.8,0
2026-06-25T16:00,2026-06-25T00:00,19.12,72.85,0.2,0.1,82,0,0.8,0
2026-06-25T16:00,2026-06-25T01:00,19.12,72.85,0.1,0.1,85,1,0.8,0
2026-06-25T16:00,2026-06-25T02:00,19.12,72.85,1.1,0.1,89,2,0.8,0
2026-06-25T16:00,2026-06-25T03:00,19.12,72.85,0.4,0.1,89,3,0.8,0
2026-06-25T16:00,2026-06-25T04:00,19.12,72.85,0.0,0.1,88,4,0.8,1
2026-06-25T16:00,2026-06-25T05:00,19.12,72.85,0.0,0.1,88,5,0.8,1
2026-06-25T16:00,2026-06-25T06:00,19.12,72.85,1.1,0.1,89,6,0.8,1
2026-06-25T16:00,2026-06-25T07:00,19.12,72.85,0.0,0.1,86,7,0.8,0
2026-06-25T16:00,2026-06-25T08:00,19.12,72.85,0.0,0.1,83,8,0.8,1
2026-06-25T16:00,2026-06-25T09:00,19.12,72.85,0.3,0.2,79,9,0.8,0
2026-06-25T16:00,2026-06-25T10:00,19.12,72.85,0.1,0.2,79,10,0.8,0
2026-06-25T16:00,2026-06-25T11:00,19.12,72.85,0.5,0.2,70,11,0.8,0
2026-06-25T16:00,2026-06-25T12:00,19.12,72.85,0.4,0.3,74,12,0.8,1
2026-06-25T16:00,2026-06-25T13:00,19.12,72.85,0.2,0.3,74,13,0.8,0
2026-06-25T16:00,2026-06-25T14:00,19.12,72.85,0.3,0.3,76,14,0.8,0
2026-06-25T16:00,2026-06-25T15:00,19.12,72.85,0.1,0.1,76,15,0.8,0
2026-06-25T16:00,2026-06-25T16:00,19.12,72.85,0.2,0.1,78,16,0.8,0
2026-06-25T16:00,2026-06-25T17:00,19.12,72.85,0.1,0.1,76,17,0.8,0
2026-06-25T16:00,2026-06-25T18:00,19.12,72.85,0.0,0.0,82,18,0.8,0
2026-06-25T16:00,2026-06-25T19:00,19.12,72.85,0.0,0.0,83,19,0.8,0
2026-06-25T16:00,2026-06-25T20:00,19.12,72.85,0.0,0.0,81,20,0.8,0
2026-06-25T16:00,2026-06-25T21:00,19.12,72.85,0.1,0.3,85,21,0.8,0
2026-06-25T16:00,2026-06-25T22:00,19.12,72.85,0.3,0.3,89,22,0.8,0
2026-06-25T16:00,2026-06-25T23:00,19.12,72.85,0.4,0.3,85,23,0.8,0
2026-06-25T19:00,2026-06-26T00:00,19.12,72.85,0.7,0.1,88,0,0.8,0
2026-06-25T19:00,2026-06-26T01:00,19.12,72.85,0.1,0.1,90,1,0.8,0
2026-06-25T19:00,2026-06-26T02:00,19.12,72.85,0.1,0.1,92,2,0.8,0
2026-06-25T19:00,2026-06-26T03:00,19.12,72.85,0.0,0.0,90,3,0.8,0
2026-06-25T19:00,2026-06-26T04:00,19.12,72.85,0.2,0.0,90,4,0.8,0
2026-06-25T19:00,2026-06-26T05:00,19.12,72.85,0.1,0.0,92,5,0.8,0
2026-06-25T19:00,2026-06-26T06:00,19.12,72.85,0.2,0.1,91,6,0.8,0
2026-06-25T19:00,2026-06-26T07:00,19.12,72.85,0.0,0.1,88,7,0.8,0
2026-06-25T19:00,2026-06-26T08:00,19.12,72.85,0.1,0.1,83,8,0.8,0
2026-06-25T19:00,2026-06-26T09:00,19.12,72.85,0.1,0.0,85,9,0.8,0
2026-06-25T19:00,2026-06-26T10:00,19.12,72.85,0.1,0.0,82,10,0.8,0
2026-06-25T19:00,2026-06-26T11:00,19.12,72.85,0.1,0.0,76,11,0.8,0
2026-06-25T19:00,2026-06-26T12:00,19.12,72.85,0.3,0.4,73,12,0.8,0
2026-06-25T19:00,2026-06-26T13:00,19.12,72.85,0.1,0.4,72,13,0.8,0
2026-06-25T19:00,2026-06-26T14:00,19.12,72.85,0.1,0.4,73,14,0.8,0
2026-06-25T19:00,2026-06-26T15:00,19.12,72.85,0.1,0.1,72,15,0.8,0
2026-06-25T19:00,2026-06-26T16:00,19.12,72.85,0.2,0.1,74,16,0.8,0
2026-06-25T19:00,2026-06-26T17:00,19.12,72.85,0.0,0.1,76,17,0.8,0
2026-06-25T19:00,2026-06-26T18:00,19.12,72.85,0.0,0.1,78,18,0.8,0
2026-06-25T19:00,2026-06-26T19:00,19.12,72.85,0.0,0.1,80,19,0.8,0
2026-06-25T19:00,2026-06-26T20:00,19.12,72.85,0.0,0.1,81,20,0.8,0
2026-06-25T19:00,2026-06-26T21:00,19.12,72.85,0.0,0.1,83,21,0.8,0
2026-06-25T19:00,2026-06-26T22:00,19.12,72.85,0.0,0.1,87,22,0.8,0
2026-06-25T19:00,2026-06-26T23:00,19.12,72.85,0.0,0.1,81,23,0.8,0
2026-06-25T23:00,2026-06-26T00:00,19.12,72.85,0.3,0.1,88,0,1.2,0
2026-06-25T23:00,2026-06-26T01:00,19.12,72.85,0.0,0.1,90,1,1.2,0
2026-06-25T23:00,2026-06-26T02:00,19.12,72.85,0.0,0.1,92,2,1.2,0
2026-06-25T23:00,2026-06-26T03:00,19.12,72.85,0.0,0.0,90,3,1.2,0
2026-06-25T23:00,2026-06-26T04:00,19.12,72.85,0.0,0.0,90,4,1.2,0
2026-06-25T23:00,2026-06-26T05:00,19.12,72.85,0.0,0.0,92,5,1.2,0
2026-06-25T23:00,2026-06-26T06:00,19.12,72.85,0.0,0.1,91,6,1.2,0
2026-06-25T23:00,2026-06-26T07:00,19.12,72.85,0.1,0.1,88,7,1.2,0
2026-06-25T23:00,2026-06-26T08:00,19.12,72.85,0.1,0.1,83,8,1.2,0
2026-06-25T23:00,2026-06-26T09:00,19.12,72.85,0.2,0.2,85,9,1.2,0
2026-06-25T23:00,2026-06-26T10:00,19.12,72.85,0.1,0.2,82,10,1.2,0
2026-06-25T23:00,2026-06-26T11:00,19.12,72.85,0.1,0.2,76,11,1.2,0
2026-06-25T23:00,2026-06-26T12:00,19.12,72.85,0.1,0.2,73,12,1.2,0
2026-06-25T23:00,2026-06-26T13:00,19.12,72.85,0.0,0.2,72,13,1.2,0
2026-06-25T23:00,2026-06-26T14:00,19.12,72.85,0.3,0.2,73,14,1.2,0
2026-06-25T23:00,2026-06-26T15:00,19.12,72.85,0.1,0.1,72,15,1.2,0
